"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"C1";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C2";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C3";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C4";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C5";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C6";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C7";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C8";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C9";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C10";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C11";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"D1";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";
"D2";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";
"D3";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";
"D4";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";
"D5";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";
"D6";"PMLL41SOD80C";"PMLL41SOD80C";"SOD80C";"High-speed diodes";"";"";"";"";"";
"D7";"PMLL41SOD80C";"PMLL41SOD80C";"SOD80C";"High-speed diodes";"";"";"";"";"";
"Q1";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";"";"";"";"";
"Q2";"BCX71SMD";"BCX71SMD";"SOT23";"PNP Transistor";"";"";"";"";"";
"Q3";"BCX71SMD";"BCX71SMD";"SOT23";"PNP Transistor";"";"";"";"";"";
"Q4";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";"";"";"";"";
"Q5";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";"";"";"";"";
"Q6";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q7";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
