"Qty";"Value";"Device";"Package";"Parts";"Description";"SPICEPREFIX";"TP_SIGNAL_NAME";
"4";"100n";"C-EUC0805";"C0805";"C5, C6, C8, C9";"CAPACITOR, European symbol";"C";"";
"1";"10M";"R-EU_M0805";"M0805";"R36";"RESISTOR, European symbol";"R";"";
"3";"10ME";"R-EU_M0805";"M0805";"R7, R8, R22";"RESISTOR, European symbol";"R";"";
"3";"10k";"R-EU_M0805";"M0805";"R18, R23, R38";"RESISTOR, European symbol";"R";"";
"6";"10n";"C-EUC0805";"C0805";"C1, C2, C3, C4, C7, C11";"CAPACITOR, European symbol";"C";"";
"1";"10u";"C-EUC0805";"C0805";"C10";"CAPACITOR, European symbol";"C";"";
"18";"1k";"R-EU_M0805";"M0805";"R15, R16, R17, R25, R26, R29, R30, R31, R32, R34, R35, R37, R39, R40, R42, R43, R44, R45";"RESISTOR, European symbol";"R";"";
"18";"1kE";"R-EU_M0805";"M0805";"R1, R2, R3, R4, R5, R6, R9, R10, R11, R12, R13, R14, R19, R20, R21, R24, R27, R28";"RESISTOR, European symbol";"R";"";
"5";"BAT60J";"BAT60J";"SOD323_ST";"D1, D2, D3, D4, D5";"Schottky barrier diode";"";"";
"7";"BC846";"BC846";"SOT23";"T1, T2, T4, T5, T6, T7, T8";"NPN TRANSISTOR";"";"";
"5";"BCX71SMD";"BCX71SMD";"SOT23";"Q2, Q3, Q15, Q22, Q23";"PNP Transistor";"";"";
"20";"BSS123";"BSS123";"SOT23";"Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q14, Q16, Q17, Q19, Q21, Q25, Q27, Q28, Q29, Q30, Q31, Q32, Q33";"N-CHANNEL MOS FET";"";"";
"6";"FDN360P";"FDN360P";"SUPER-SOT3";"Q1, Q4, Q5, Q13, Q18, Q20";"Single P-Channel, PowerTrench (R) MOSFET";"";"";
"2";"PMLL41SOD80C";"PMLL41SOD80C";"SOD80C";"D6, D7";"High-speed diodes";"";"";
"8";"PTR1PAD1-17";"PTR1PAD1-17";"P1-17";"+5V, 0V, EN, S, X0, X1, X2, Y_";"TEST PIN";"";"";
